,IMDB_titleID,IMDB_rating,IMDB_title_name
69,/title/tt4491456/,"8.3 based on 1,198 user ratings"," Los setenta (2015) (TV Mini-Series) aka ""The Seventies"" "
70,/title/tt4839610/,"7.9 based on 11,289 user ratings"," Somos osos (2014) (TV Series) aka ""We Bare Bears"" "
71,Not Found,Not Found,Not Found
72,/title/tt6596634/,7.4 based on 930 user ratings, The Royal House of Windsor (2017) (TV Series) 
73,/title/tt5952332/,"6.9 based on 20,788 user ratings", Amanda Knox (2016) 
74,/title/tt4051832/,"8.1 based on 15,431 user ratings", Lovesick (2014) (TV Series) 
75,/title/tt7448180/,"5.8 based on 5,441 user ratings"," La Deuda (2018) aka ""The Debt Collector"" "
76,Not Found,Not Found,Not Found
77,Not Found,Not Found,Not Found
78,/title/tt3748172/,"6.6 based on 87,747 user ratings"," El juego de Gerald (2017) aka ""Gerald's Game"" "
79,Not Found,Not Found,Not Found
80,/name/nm9825103/,Not Found," Izak Cunta (Actor, Last Man (2018))"
81,/title/tt5034266/,"6.9 based on 11,007 user ratings"," Nosotros en la noche (2017) aka ""Our Souls at Night"" "
82,/title/tt6330514/,"6.3 based on 1,774 user ratings", Out of Thin Air (2017) 
83,/title/tt7936386/,7.5 based on 133 user ratings," Paul Hollywood de viaje por Europa (2017) (TV Series) aka ""Paul Hollywood's Big Continental Road Trip"" "
84,/title/tt7752880/,6.5 based on 46 user ratings, Satu Hari Nanti (2017) 
85,/title/tt4779496/,6.5 based on 552 user ratings," Monster High: Monstruo York, Monstruo York ¡Un musical vampitástico! (2015) (Video) aka ""Monster High: Boo York, Boo York - Um Musical de Arrepiar"" "
86,Not Found,Not Found,Not Found
87,Not Found,Not Found,Not Found
88,/title/tt11057912/,5.5 based on 77 user ratings, TUNA Girl (2019) 
89,/title/tt2713324/,"7.2 based on 1,757 user ratings"," 5 cm (2012) aka ""5CM"" "
90,Not Found,Not Found,Not Found
91,/title/tt5057140/,"5.6 based on 32,689 user ratings"," Noche de lobos (2018) aka ""Hold the Dark"" "
92,/title/tt7476418/,5.9 based on 278 user ratings, Lecciones de una masacre en la escuela: Cartas desde Dunblane (2018) (Short) 
93,/title/tt8871764/,4.0 based on 694 user ratings, Made in Mexico (2018) (TV Series) 
94,/title/tt5169582/,6.8 based on 656 user ratings, Single (II) (2015) 
95,Not Found,Not Found,Not Found
96,/title/tt3418604/,"7.6 based on 1,054 user ratings", The Sinking of Van Der Wijck (2013) 
97,/title/tt8893608/,6.4 based on 594 user ratings," Dos Cataluñas (2018) aka ""Two Catalonias"" "
98,/title/tt5931144/,7.2 based on 591 user ratings, Bobby Sands: 66 Days (2016) 
99,/title/tt8069036/,"7.0 based on 8,817 user ratings", Bard of Blood (2019) (TV Series) 
100,/title/tt7871636/,"4.6 based on 2,226 user ratings", Deliha 2 (2018) 
101,/title/tt10687134/,6.0 based on 170 user ratings, Dragons: Rescue Riders (2019) (TV Series) 
102,/title/tt8110640/,"6.2 based on 39,224 user ratings"," El lado siniestro de la luna (2019) aka ""In the Shadow of the Moon"" "
103,/title/tt9387250/,6.8 based on 64 user ratings, Skylines (2020) 
104,/title/tt10682000/,"6.4 based on 1,396 user ratings"," Sound & Fury (2019) (Short) aka ""Sturgill Simpson Presents Sound & Fury"" "
105,/title/tt7971476/,"7.5 based on 17,461 user ratings", The Politician (2019) (TV Series) 
