,Argentina,Australia,Belgium,Brazil,Bulgaria,Cambodia,Canada,Chile,China,Colombia,Czech Republic,Denmark,Egypt,Finland,France,Germany,Hong Kong,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Luxembourg,Malaysia,Malta,Mexico,Morocco,Nepal,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Paraguay,Philippines,Poland,Russia,Serbia,Singapore,South Africa,South Korea,Soviet Union,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,United States,Vietnam,Greece,Cayman Islands,East Germany,Kazakhstan,Lebanon,Malawi,Qatar,West Germany,Liechtenstein,"Poland,",Austria,Bangladesh,Croatia,Cyprus,Ghana,Jordan,Peru,Portugal,Romania,Saudi Arabia,Slovenia,Ukraine,Uruguay,Cuba,Afghanistan,Armenia,Bermuda,Botswana,Dominican Republic,Ecuador,Georgia,Iraq,Mongolia,Namibia,Nicaragua,Panama,Samoa,Senegal,Sri Lanka,Uganda,"United Kingdom,","United States,",Vatican City,Venezuela,Zimbabwe,Albania,Azerbaijan,Guatemala,Iran,Kenya,Kuwait,Latvia,Mauritius,Montenegro,Slovakia,Somalia,Sudan,Syria
Docuseries,1,9,0,2,0,0,10,0,1,1,4,0,0,0,6,5,0,0,0,5,0,0,3,2,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,6,0,0,0,1,0,0,83,135,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dramas,29,45,42,30,1,1,83,12,44,10,4,20,25,4,137,68,30,4,4,560,34,16,13,28,30,6,8,2,43,4,1,18,6,22,14,15,0,26,22,9,2,14,11,41,2,72,16,11,30,13,38,11,149,729,2,2,0,0,0,9,1,4,1,1,1,5,3,3,0,2,4,1,4,3,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,1,1,1,1
Horror Movies,3,3,4,0,1,0,22,2,1,0,0,0,1,0,9,4,0,0,1,31,10,2,1,1,3,0,4,0,4,0,0,0,0,1,0,1,0,3,1,0,1,3,2,3,0,9,0,0,1,15,6,1,22,145,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Independent Movies,6,7,12,10,1,0,32,5,1,2,1,7,3,0,50,23,3,0,2,128,0,3,4,3,5,1,0,0,15,1,0,3,2,3,2,4,0,0,3,0,1,1,3,2,0,17,6,3,1,0,2,2,52,287,0,2,0,0,0,0,1,2,0,0,0,4,3,2,0,1,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
International Movies,42,26,47,32,4,1,44,13,59,10,8,20,44,6,148,67,81,3,3,719,46,12,13,38,44,4,13,0,52,3,2,29,8,35,11,19,1,46,16,6,3,13,14,34,3,111,15,11,8,35,60,11,125,116,4,1,0,0,0,1,0,5,2,0,1,7,2,2,0,2,5,8,3,6,1,2,1,8,0,1,1,0,0,2,0,2,2,1,0,0,0,0,1,1,0,1,0,1,2,1,1,0,1,3,0,0,1,0,1,1,0,0,0
International TV Shows,10,27,10,14,0,0,23,4,31,21,2,6,9,2,35,17,4,0,1,48,1,3,8,6,112,0,3,0,31,0,0,5,2,0,8,4,0,1,4,9,0,11,3,99,0,40,7,1,65,17,25,1,107,58,0,2,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
Kids' TV,3,14,0,2,0,0,51,0,4,0,0,3,0,1,32,5,0,0,0,5,1,2,0,7,27,0,4,0,4,0,0,3,4,0,0,0,0,0,0,5,0,2,0,16,0,3,1,0,0,1,0,0,22,159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Music & Musicals,3,3,2,0,0,0,9,0,1,0,0,0,2,1,3,6,0,0,0,92,0,0,0,3,3,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,4,3,0,1,1,1,0,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reality TV,1,9,0,3,0,0,7,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,8,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,0,0,0,0,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romantic TV Shows,1,2,0,1,0,0,2,0,18,2,0,0,2,0,2,0,1,0,0,6,1,0,0,0,17,0,1,0,5,0,0,0,0,0,1,4,0,0,0,1,0,3,1,49,0,8,1,0,47,8,5,0,9,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sci-Fi & Fantasy,1,8,3,1,1,0,21,0,14,1,2,0,1,0,9,10,3,1,1,14,2,0,1,1,8,1,0,0,4,0,0,2,6,0,0,0,0,0,1,0,2,1,3,4,1,8,0,1,1,0,0,2,31,186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spanish-Language TV Shows,14,0,0,1,0,0,0,4,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand-Up Comedy & Talk Shows,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TV Action & Adventure,0,1,1,0,0,0,8,0,6,2,0,0,0,0,3,0,0,0,0,4,0,1,3,0,4,0,0,1,6,0,0,0,2,0,0,0,0,0,1,1,0,0,0,9,0,3,0,0,3,2,5,0,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TV Comedies,1,12,0,6,0,0,28,0,9,0,0,2,2,1,17,2,1,0,0,15,0,2,1,2,9,0,2,0,3,0,0,1,0,0,5,0,0,0,0,2,0,2,1,7,0,5,2,1,38,3,2,0,38,199,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TV Dramas,2,16,9,8,0,0,27,3,18,6,0,6,7,2,23,10,3,1,1,21,1,7,5,6,20,0,1,1,9,0,0,4,2,0,6,3,0,1,4,6,0,7,2,17,0,9,5,1,26,10,21,1,27,196,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
TV Horror,1,1,0,0,0,0,7,0,0,0,1,0,0,0,2,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TV Sci-Fi & Fantasy,0,2,1,1,0,0,5,0,3,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
