,genre,country,count
186,Classic Movies,Turkey,0
187,Classic Movies,United Arab Emirates,0
188,Classic Movies,United Kingdom,11
189,Classic Movies,United States,61
190,Classic Movies,Uruguay,0
191,Classic Movies,Venezuela,0
192,Comedies,Argentina,10
193,Comedies,Australia,14
194,Comedies,Austria,0
195,Comedies,Belgium,13
196,Comedies,Brazil,11
197,Comedies,Bulgaria,0
198,Comedies,Cambodia,1
199,Comedies,Canada,68
200,Comedies,Chile,6
201,Comedies,China,23
202,Comedies,Colombia,5
203,Comedies,Croatia,1
204,Comedies,Cyprus,0
205,Comedies,Czech Republic,2
206,Comedies,Denmark,1
207,Comedies,Egypt,25
208,Comedies,Finland,1
209,Comedies,France,37
210,Comedies,Georgia,0
211,Comedies,Germany,31
212,Comedies,Ghana,1
213,Comedies,Hong Kong,31
214,Comedies,Iceland,0
215,Comedies,India,246
216,Comedies,Indonesia,6
217,Comedies,Iran,0
218,Comedies,Ireland,4
219,Comedies,Israel,2
220,Comedies,Italy,6
221,Comedies,Japan,6
222,Comedies,Lebanon,1
223,Comedies,Malaysia,6
224,Comedies,Mauritius,0
225,Comedies,Mexico,20
226,Comedies,Netherlands,5
227,Comedies,New Zealand,1
228,Comedies,Norway,1
229,Comedies,Pakistan,7
230,Comedies,Paraguay,0
231,Comedies,Peru,3
232,Comedies,Philippines,17
233,Comedies,Poland,2
234,Comedies,Portugal,1
235,Comedies,Romania,3
236,Comedies,Russia,0
237,Comedies,Saudi Arabia,1
238,Comedies,Serbia,0
239,Comedies,Singapore,0
240,Comedies,Slovenia,1
241,Comedies,Somalia,0
242,Comedies,South Africa,5
243,Comedies,South Korea,10
244,Comedies,Soviet Union,0
245,Comedies,Spain,40
246,Comedies,Sweden,4
247,Comedies,Switzerland,3
248,Comedies,Taiwan,3
249,Comedies,Thailand,12
250,Comedies,Turkey,45
251,Comedies,United Arab Emirates,5
252,Comedies,United Kingdom,67
253,Comedies,United States,447
254,Comedies,Uruguay,1
255,Comedies,Venezuela,0
256,Crime TV Shows,Argentina,4
257,Crime TV Shows,Australia,9
258,Crime TV Shows,Austria,0
259,Crime TV Shows,Belgium,8
260,Crime TV Shows,Brazil,4
261,Crime TV Shows,Bulgaria,0
262,Crime TV Shows,Cambodia,0
263,Crime TV Shows,Canada,15
264,Crime TV Shows,Chile,1
265,Crime TV Shows,China,4
266,Crime TV Shows,Colombia,16
267,Crime TV Shows,Croatia,0
268,Crime TV Shows,Cyprus,0
269,Crime TV Shows,Czech Republic,2
270,Crime TV Shows,Denmark,1
271,Crime TV Shows,Egypt,1
272,Crime TV Shows,Finland,2
273,Crime TV Shows,France,18
274,Crime TV Shows,Georgia,0
275,Crime TV Shows,Germany,11
276,Crime TV Shows,Ghana,0
277,Crime TV Shows,Hong Kong,2
278,Crime TV Shows,Iceland,1
279,Crime TV Shows,India,7
280,Crime TV Shows,Indonesia,0
281,Crime TV Shows,Iran,0
282,Crime TV Shows,Ireland,2
283,Crime TV Shows,Israel,4
284,Crime TV Shows,Italy,3
285,Crime TV Shows,Japan,12
286,Crime TV Shows,Lebanon,2
287,Crime TV Shows,Malaysia,0
288,Crime TV Shows,Mauritius,0
289,Crime TV Shows,Mexico,23
290,Crime TV Shows,Netherlands,3
291,Crime TV Shows,New Zealand,0
292,Crime TV Shows,Norway,2
293,Crime TV Shows,Pakistan,1
294,Crime TV Shows,Paraguay,0
295,Crime TV Shows,Peru,0
296,Crime TV Shows,Philippines,0
297,Crime TV Shows,Poland,3
298,Crime TV Shows,Portugal,0
299,Crime TV Shows,Romania,0
300,Crime TV Shows,Russia,6
301,Crime TV Shows,Saudi Arabia,0
302,Crime TV Shows,Serbia,0
303,Crime TV Shows,Singapore,3
304,Crime TV Shows,Slovenia,0
305,Crime TV Shows,Somalia,0
306,Crime TV Shows,South Africa,2
307,Crime TV Shows,South Korea,16
308,Crime TV Shows,Soviet Union,0
309,Crime TV Shows,Spain,20
310,Crime TV Shows,Sweden,4
311,Crime TV Shows,Switzerland,0
312,Crime TV Shows,Taiwan,4
313,Crime TV Shows,Thailand,3
314,Crime TV Shows,Turkey,10
315,Crime TV Shows,United Arab Emirates,1
316,Crime TV Shows,United Kingdom,43
317,Crime TV Shows,United States,118
318,Crime TV Shows,Uruguay,0
319,Crime TV Shows,Venezuela,0
320,Cult Movies,Argentina,1
321,Cult Movies,Australia,1
322,Cult Movies,Austria,0
323,Cult Movies,Belgium,1
324,Cult Movies,Brazil,0
325,Cult Movies,Bulgaria,0
326,Cult Movies,Cambodia,0
327,Cult Movies,Canada,6
328,Cult Movies,Chile,0
329,Cult Movies,China,1
330,Cult Movies,Colombia,0
331,Cult Movies,Croatia,0
332,Cult Movies,Cyprus,0
333,Cult Movies,Czech Republic,1
334,Cult Movies,Denmark,1
335,Cult Movies,Egypt,0
336,Cult Movies,Finland,0
337,Cult Movies,France,3
338,Cult Movies,Georgia,0
339,Cult Movies,Germany,2
340,Cult Movies,Ghana,0
341,Cult Movies,Hong Kong,4
342,Cult Movies,Iceland,0
343,Cult Movies,India,4
344,Cult Movies,Indonesia,0
345,Cult Movies,Iran,0
346,Cult Movies,Ireland,0
347,Cult Movies,Israel,0
348,Cult Movies,Italy,0
349,Cult Movies,Japan,1
350,Cult Movies,Lebanon,0
351,Cult Movies,Malaysia,0
352,Cult Movies,Mauritius,0
353,Cult Movies,Mexico,0
354,Cult Movies,Netherlands,0
355,Cult Movies,New Zealand,0
356,Cult Movies,Norway,0
357,Cult Movies,Pakistan,0
358,Cult Movies,Paraguay,0
359,Cult Movies,Peru,0
360,Cult Movies,Philippines,0
361,Cult Movies,Poland,1
362,Cult Movies,Portugal,0
363,Cult Movies,Romania,0
364,Cult Movies,Russia,0
365,Cult Movies,Saudi Arabia,0
366,Cult Movies,Serbia,0
367,Cult Movies,Singapore,1
368,Cult Movies,Slovenia,0
369,Cult Movies,Somalia,0
370,Cult Movies,South Africa,0
371,Cult Movies,South Korea,1
372,Cult Movies,Soviet Union,0
373,Cult Movies,Spain,0
374,Cult Movies,Sweden,1
375,Cult Movies,Switzerland,0
376,Cult Movies,Taiwan,0
377,Cult Movies,Thailand,0
378,Cult Movies,Turkey,0
379,Cult Movies,United Arab Emirates,0
380,Cult Movies,United Kingdom,5
381,Cult Movies,United States,37
382,Cult Movies,Uruguay,0
383,Cult Movies,Venezuela,0
384,Documentaries,Argentina,6
385,Documentaries,Australia,14
386,Documentaries,Austria,3
387,Documentaries,Belgium,5
388,Documentaries,Brazil,11
389,Documentaries,Bulgaria,0
390,Documentaries,Cambodia,0
391,Documentaries,Canada,31
